date,home_team,away_team,target,home_goals,away_goals,tournament_weight,is_neutral,home_matches_played,home_goals_for_avg,home_goals_against_avg,home_goal_diff_avg,home_win_pct,home_draw_pct,home_loss_pct,home_recent_form,away_matches_played,away_goals_for_avg,away_goals_against_avg,away_goal_diff_avg,away_win_pct,away_draw_pct,away_loss_pct,away_recent_form,home_elo,away_elo,elo_diff,goal_diff_strength,h2h_home_wins,h2h_away_wins,h2h_draws
2018-03-24,Mauritania,Guinea,0,2,0,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1297,1468,-171,0.0,0,0,0
2018-03-24,Northern Ireland,South Korea,0,2,1,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.3669754641613052,0.73395092832261,0.6330245358386951,0.0,0.366975464161305,0.6330245358386951,0.2,1674,1759,-85,-0.6330245358386951,0,0,0
2018-03-24,Qatar,Syria,1,2,2,1.0,false,1,3.0000000000000004,2.0,1.0000000000000002,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1479,1610,-131,1.0000000000000002,0,0,0
2018-03-24,Sweden,Chile,2,1,2,1.0,false,2,1.0,0.44628021577323934,0.5537197842267606,0.0,0.44628021577323934,0.5537197842267606,0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1816,1859,-43,0.5537197842267606,0,0,0
2018-03-24,Tahiti,New Caledonia,0,4,3,1.0,false,1,0.0,0.0,0.0,0.0,1.0,0.0,0.2,1,0.0,0.0,0.0,0.0,1.0,0.0,0.2,1220,1202,18,0.0,0,0,1
2018-03-24,Uganda,São Tomé and Príncipe,0,3,1,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1457,1500,-43,0.0,0,0,0
2018-03-24,Zambia,South Africa,2,0,2,1.0,false,1,2.0,2.0,0.0,0.0,1.0,0.0,0.2,1,1.0,1.0,0.0,0.0,1.0,0.0,0.2,1492,1530,-38,0.0,0,0,0
2018-03-24,Alderney,Guernsey,2,0,2,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,1500,0,0.0,0,0,0
2018-03-25,Barbados,Bermuda,1,0,0,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,3.0,-1.0000000000000002,1.0,0.0,0.0,0.6,1137,1189,-52,1.0000000000000002,0,0,0
2018-03-25,Dominican Republic,Saint Kitts and Nevis,0,2,1,1.0,false,1,4.0,0.0,4.0,1.0,0.0,0.0,0.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1251,1254,-3,4.0,0,0,0
2018-03-25,Faroe Islands,Liechtenstein,0,3,0,1.0,false,1,1.0,1.0,0.0,0.0,1.0,0.0,0.2,1,0.0,1.0,-1.0,1.0,0.0,0.0,0.6,1282,1153,129,1.0,0,0,0
2018-03-25,Gibraltar,Latvia,0,1,0,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.46611220648340007,1.0,-0.5338877935166,0.0,0.46611220648340007,0.5338877935166,0.2,1078,1358,-280,0.5338877935166,0,0,0
2018-03-25,Jamaica,Antigua and Barbuda,1,1,1,1.0,false,1,2.0,2.0,0.0,0.0,1.0,0.0,0.2,1,3.0,2.0,1.0,1.0,0.0,0.0,0.6,1569,1209,360,-1.0,0,0,0
2018-03-25,Kuwait,Cameroon,2,1,3,1.0,false,1,0.0,1.0,-1.0,1.0,0.0,0.0,0.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1419,1644,-225,-1.0,0,0,0
2018-03-25,Martinique,Trinidad and Tobago,1,0,0,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1428,1427,1,-1.0,0,0,0
2018-03-25,Nicaragua,Cuba,1,3,3,1.0,false,1,3.0,1.0,2.0000000000000004,1.0,0.0,0.0,0.6,1,1.0,3.0,-2.0000000000000004,1.0,0.0,0.0,0.6,1278,1295,-17,4.000000000000001,1,0,0
2018-03-25,Thailand,Slovakia,2,2,3,1.0,false,1,0.0,0.0,0.0,0.0,1.0,0.0,0.2,1,2.0,1.0,1.0,1.0,0.0,0.0,0.6,1404,1755,-351,-1.0,0,0,0
2018-03-25,Yorkshire,Chagos Islands,0,6,0,1.0,false,1,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,795,705,0.0,0,0,0
2018-03-26,Albania,Norway,2,0,1,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0,1.0,3.0,1.0,0.0,0.0,0.6,1608,1601,7,-3.0,0,0,0
2018-03-26,Bulgaria,Kazakhstan,0,2,1,1.0,false,1,0.0,1.0,-1.0,0.0,0.0,1.0,0.0,1,3.0,2.0,1.0,0.0,0.0,1.0,0.0,1610,1357,253,-2.0,0,0,0
2018-03-26,China,Czech Republic,2,1,4,1.0,false,1,0.0,6.0,-6.0,0.0,0.0,1.0,0.0,1,0.0,2.0,-2.0,1.0,0.0,0.0,0.6,1541,1699,-158,-4.0,0,0,0
2018-03-26,Curaçao,Bolivia,0,1,0,1.0,false,1,1.0,1.0,0.0,0.0,1.0,0.0,0.2,1,1.0,1.0,0.0,0.0,1.0,0.0,0.2,1274,1698,-424,0.0,0,0,1
2018-03-26,Finland,Malta,0,5,0,1.0,false,2,0.8309996308623535,0.41549981543117676,0.41549981543117676,0.0,0.5845001845688234,0.41549981543117676,0.2,1,0.0,1.0,-1.0,0.0,0.0,1.0,0.0,1599,1204,395,1.4154998154311769,0,0,0
2018-03-26,Portugal,Netherlands,2,0,3,1.0,false,1,2.0,1.0,1.0,1.0,0.0,0.0,0.6,1,0.0,1.0,-1.0,0.0,0.0,1.0,0.0,1996,1882,114,2.0,0,0,0
2018-03-26,Wales,Uruguay,2,0,1,1.0,false,1,6.0,0.0,6.0,0.0,0.0,1.0,0.0,1,2.0,0.0,2.0,1.0,0.0,0.0,0.6,1787,1879,-92,4.0,0,0,0
2018-03-27,Afghanistan,Cambodia,0,2,1,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1154,826,328,-1.0,0,0,0
2018-03-27,Algeria,Iran,2,1,2,1.0,false,1,4.0,1.0,3.0,1.0,0.0,0.0,0.6,2,1.8154118295344925,0.5461470426163768,1.2692647869181157,1.0,0.0,0.0,1.2,1539,1790,-251,1.7307352130818843,0,0,0
2018-03-27,Armenia,Lithuania,2,0,1,1.0,false,1,0.0,0.0,0.0,0.0,1.0,0.0,0.2,1,0.0,4.0,-4.0,1.0,0.0,0.0,0.6,1478,1396,82,4.0,0,0,0
2018-03-27,Australia,Colombia,1,0,0,1.0,false,1,1.0,4.0,-3.0000000000000004,1.0,0.0,0.0,0.6,1,3.0,2.0,1.0,0.0,0.0,1.0,0.0,1709,1940,-231,-4.0,0,0,0
2018-03-27,Azerbaijan,North Macedonia,1,1,1,1.0,false,2,0.0,0.5791690871826282,-0.5791690871826282,0.0,0.42083091281737184,0.5791690871826282,0.2,1,0.0,0.0,0.0,0.0,1.0,0.0,0.2,1388,1521,-133,-0.5791690871826282,0,0,0
2018-03-27,Bahrain,Turkmenistan,0,4,0,1.0,false,2,0.0,0.44215072428655,-0.44215072428655,0.44215072428655,0.55784927571345,0.0,0.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1402,1259,143,-0.44215072428655,0,0,0
2018-03-27,Belgium,Saudi Arabia,0,4,0,1.0,false,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.5510917250663676,1.7084300582073806,-0.15733833314101278,0.6035378361133719,0.39646216388662814,0.0,1.4,1926,1566,360,0.15733833314101278,0,0,0
